image_url,latitude,longitude,scientific_name,common_name
https://static.inaturalist.org/photos/14492499/medium.jpg,23.4828215313,120.7472906494,Hynobius arisanensis,阿里山山椒魚
https://static.inaturalist.org/photos/14492548/medium.jpg,24.2917704748,120.8292839776,Hynobius sonani,楚南氏山椒魚
https://static.inaturalist.org/photos/14522171/medium.jpg,24.2349315812,120.8167225931,Hynobius formosanus,臺灣山椒魚
https://inaturalist-open-data.s3.amazonaws.com/photos/17687530/medium.jpg,22.6827304132,121.5649299053,Tridacna maxima,長硨磲蛤
https://inaturalist-open-data.s3.amazonaws.com/photos/19234353/medium.jpg,24.4001746144,121.193705314,Hynobius fucus,觀霧山椒魚
https://static.inaturalist.org/photos/19590190/medium.jpeg,24.520960923,121.1858424323,Hynobius fucus,觀霧山椒魚
https://static.inaturalist.org/photos/19590194/medium.jpeg,24.5142641145,121.0782070595,Hynobius fucus,觀霧山椒魚
https://inaturalist-open-data.s3.amazonaws.com/photos/20875353/medium.jpeg,23.4722358344,120.8454466549,Hynobius arisanensis,阿里山山椒魚
https://inaturalist-open-data.s3.amazonaws.com/photos/20875422/medium.jpeg,23.5374054541,120.9536987492,Hynobius arisanensis,阿里山山椒魚
https://static.inaturalist.org/photos/20930634/medium.jpeg,24.1365964457,121.3419004566,Hynobius sonani,楚南氏山椒魚
https://inaturalist-open-data.s3.amazonaws.com/photos/20975016/medium.jpg,24.4371407136,121.0060092596,Hynobius fucus,觀霧山椒魚
https://inaturalist-open-data.s3.amazonaws.com/photos/21661290/medium.jpeg,24.0433959921,121.2499505891,Hynobius formosanus,臺灣山椒魚
https://inaturalist-open-data.s3.amazonaws.com/photos/24803632/medium.jpeg,24.0113394627,121.3663758075,Hynobius sonani,楚南氏山椒魚
https://inaturalist-open-data.s3.amazonaws.com/photos/26214283/medium.jpeg,24.0757051273,121.3170213285,Hynobius sonani,楚南氏山椒魚
https://inaturalist-open-data.s3.amazonaws.com/photos/27447739/medium.jpg,23.498555073,120.9774482962,Hynobius arisanensis,阿里山山椒魚
https://static.inaturalist.org/photos/29186384/medium.jpeg,22.7893194328,121.4236288831,Tridacna maxima,長硨磲蛤
https://inaturalist-open-data.s3.amazonaws.com/photos/30531948/medium.jpg,24.6234951019,120.9067611694,Cyprinus carpio,鯉魚
https://inaturalist-open-data.s3.amazonaws.com/photos/35731540/medium.jpg,25.0096894722,121.5319410556,Cyprinus carpio,鯉魚
https://inaturalist-open-data.s3.amazonaws.com/photos/43017371/medium.jpg,23.4158939527,120.8461838033,Hynobius arisanensis,阿里山山椒魚
https://inaturalist-open-data.s3.amazonaws.com/photos/40602180/medium.jpg,23.5043729368,120.9317744327,Hynobius arisanensis,阿里山山椒魚
https://static.inaturalist.org/photos/40613678/medium.jpeg,23.4589853153,120.9475751401,Hynobius arisanensis,阿里山山椒魚
