image_url,latitude,longitude,scientific_name,common_name,place_guess
https://static.inaturalist.org/photos/157844/medium.jpg,24.8396067983,121.4785697851,Zhangixalus aurantiventris,橙腹樹蛙,Taiwan
https://static.inaturalist.org/photos/1308276/medium.JPG,25.0018960284,121.2679425122,Zhangixalus prasinatus,翡翠樹蛙,Taiwan
https://static.inaturalist.org/photos/5391027/medium.jpg,23.9311068789,120.9051213544,Rana sauteri,梭德氏赤蛙,"Taiwan, TW"
https://static.inaturalist.org/photos/5391028/medium.jpg,23.8748792811,120.9386947054,Rana sauteri,梭德氏赤蛙,"Taiwan, TW"
https://inaturalist-open-data.s3.amazonaws.com/photos/5584165/medium.jpeg,24.9966868862,121.5753826206,Zhangixalus taipeianus,臺北樹蛙,Taiwan
https://inaturalist-open-data.s3.amazonaws.com/photos/5584172/medium.jpeg,24.8594722946,121.5896989631,Zhangixalus taipeianus,臺北樹蛙,Taiwan
https://inaturalist-open-data.s3.amazonaws.com/photos/5584180/medium.jpeg,24.8707948885,121.5215461729,Zhangixalus taipeianus,臺北樹蛙,Taiwan
https://inaturalist-open-data.s3.amazonaws.com/photos/5584557/medium.jpeg,24.9691977956,121.5667551134,Zhangixalus taipeianus,臺北樹蛙,Taiwan
https://inaturalist-open-data.s3.amazonaws.com/photos/5584579/medium.jpeg,24.9879053024,121.4297902575,Zhangixalus taipeianus,臺北樹蛙,Taiwan
https://inaturalist-open-data.s3.amazonaws.com/photos/5584612/medium.jpeg,24.8191323302,121.4427942236,Zhangixalus taipeianus,臺北樹蛙,Taiwan
https://inaturalist-open-data.s3.amazonaws.com/photos/5584621/medium.jpeg,24.8323702685,121.5278991792,Zhangixalus taipeianus,臺北樹蛙,Taiwan
https://inaturalist-open-data.s3.amazonaws.com/photos/5584623/medium.jpeg,24.9181608438,121.4047756691,Zhangixalus prasinatus,翡翠樹蛙,Taiwan
